"ID","iRace1","iRace2","iRace3","iRace4","iRace5","iRace6","iRace7","iRace8","iRace9","iRace10","cmBiMulti","cmBlack","cmNBPoC","cmWhite","cmUnsure","Belong_1","Belong_2","Belong_3","Blst_1","Blst_2","Blst_3","Blst_4","Blst_5","Blst_6"
1,3,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,39,61,0,6,6,7,5,3,5,2,2,2
2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,10,85,0,4,4,6,6,6,2,2,4,1
3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0,10,30,60,0,NA,3,NA,NA,5,2,2,NA,2
4,3,1,3,NA,NA,NA,NA,NA,NA,NA,2,6,19,73,0,5,3,2,2,2,2,2,2,2
5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10,80,0,4,4,4,6,1,1,1,1,1
6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,20,30,35,0,5,6,5,5,1,1,2,1,2
7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,60,0,6,6,5,5,4,4,4,4,4
8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,90,5,7,7,7,5,4,3,3,4,3
9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,30,70,0,6,6,6,5,3,1,2,1,2
10,0,0,3,3,NA,NA,NA,NA,NA,NA,7,4,13,73,3,3,3,3,3,5,2,3,3,3
11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,80,10,10,6,6,5,NA,NA,2,NA,2,NA
12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,19,74,0,6,6,6,4,5,1,4,2,2
13,1,3,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,80,0,3,5,4,5,1,1,3,1,1
14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,19,0,75,4,4,4,6,1,1,1,1,1
15,3,3,3,NA,NA,NA,NA,NA,NA,NA,9,9,15,67,0,3,3,3,3,3,3,3,3,3
16,3,3,1,3,NA,NA,NA,NA,NA,NA,12,1,22,51,14,3,3,2,4,2,2,2,2,2
17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0,79,0,4,4,4,6,1,6,1,1,2
18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,11,73,5,5,6,5,4,2,2,3,2,3
19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,12,76,0,1,1,1,4,5,2,2,2,2
20,3,3,1,3,NA,NA,NA,NA,NA,NA,10,20,25,45,0,2,2,1,4,3,2,1,1,1
21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,10,10,20,60,0,5,5,3,6,1,1,2,1,1
22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,97,0,5,5,5,4,4,4,4,4,4
23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,35,15,10,5,5,5,7,1,1,1,1,1
24,3,3,3,2,NA,NA,NA,NA,NA,NA,9,2,2,85,2,4,4,4,2,2,4,5,4,4
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,9,78,0,2,2,2,4,5,4,5,3,4
26,NA,3,1,3,NA,NA,NA,NA,NA,NA,0,5,10,70,15,6,6,5,NA,5,NA,NA,5,3
27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,44,56,0,3,4,4,4,2,1,2,1,2
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,20,61,5,3,3,2,5,4,1,3,1,2
29,3,1,3,3,NA,NA,NA,NA,NA,NA,12,0,18,60,10,7,7,5,NA,1,1,1,1,1
30,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,25,50,25,0,5,5,4,6,1,2,2,1,2
31,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,29,42,29,0,3,3,3,5,5,2,4,2,2
32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,65,35,2,3,2,7,1,1,1,1,1
33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,13,75,0,5,5,5,6,1,1,1,1,2
34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,19,61,0,4,4,4,6,4,2,2,2,2
35,1,3,NA,NA,NA,NA,NA,NA,NA,NA,8,0,33,59,0,4,4,4,6,1,1,1,1,1
36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,8,79,0,3,3,3,5,2,3,2,2,2
37,3,3,3,1,NA,NA,NA,NA,NA,NA,0,10,20,70,0,6,6,6,6,1,1,1,1,1
38,1,3,NA,NA,NA,NA,NA,NA,NA,NA,17,0,25,58,0,2,2,2,7,1,1,1,1,1
